Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536152140,000002A0,false,Rx,0,8,00,00,00,64,00,00,70,14,
18445088912536152383,00000380,false,Rx,0,8,00,94,00,BB,00,00,00,06,
18445088912536152622,000003A0,false,Rx,0,8,00,0B,BE,40,F1,A5,A2,03,
18445088912536152852,0000044C,false,Rx,0,8,64,6C,43,94,58,02,05,80,
18445088912536153088,000000C2,false,Rx,0,8,44,80,00,00,80,20,74,1B,
18445088912536153285,000000D0,false,Rx,0,6,5A,86,07,38,13,F0,00,00,
18445088912536153525,00000480,false,Rx,0,8,84,00,15,F3,7F,08,06,13,
18445088912536153760,00000488,false,Rx,0,8,7D,1A,18,80,9E,FF,FF,61,
18445088912536153996,0000048A,false,Rx,0,8,92,21,01,02,00,00,00,B0,
18445088912536154228,000004A0,false,Rx,0,8,4C,0A,60,0A,6C,0A,5E,0A,
18445088912536154464,00000368,false,Rx,0,8,44,16,89,83,05,07,5A,00,
18445088912536154696,00000320,false,Rx,0,8,20,40,12,51,0A,49,0A,81,
18445088912536154940,000004A8,false,Rx,0,8,2D,00,03,80,00,20,B0,3E,
18445088912536155189,00000550,false,Rx,0,8,40,C0,80,00,00,00,00,00,
18445088912536155429,00000588,false,Rx,0,8,E1,81,80,00,14,80,04,95,
18445088912536155673,0000058C,false,Rx,0,8,90,A0,21,00,00,00,00,00,
18445088912536155909,000005A0,false,Rx,0,8,7F,06,07,B0,00,85,1B,AB,
18445088912536156153,0000048C,false,Rx,0,8,0F,08,07,00,00,00,00,00,
18445088912536157051,00000440,false,Rx,0,8,20,52,50,FE,78,00,0C,02,
18445088912536157293,00000540,false,Rx,0,8,10,00,FF,00,FF,00,02,56,
18445088912536158204,0000038A,false,Rx,0,4,98,80,38,20,00,00,00,00,
18445088912536158660,000003D4,false,Rx,0,8,46,86,40,80,08,00,00,00,
18445088912536160450,00000280,false,Rx,0,8,01,18,1C,0D,1A,00,1C,1A,
18445088912536160692,000000AE,false,Rx,0,8,8B,88,00,00,00,00,03,00,
18445088912536160938,00000380,false,Rx,0,8,00,94,00,BC,00,00,00,06,
18445088912536161180,000001A0,false,Rx,0,8,00,40,5E,0A,FE,FE,00,18,
18445088912536161416,00000488,false,Rx,0,8,6D,1A,18,80,9E,FF,FF,71,
18445088912536161656,000002A0,false,Rx,0,8,00,00,00,64,00,00,80,E4,
18445088912536161941,000004A0,false,Rx,0,8,56,0A,64,0A,6E,0A,56,0A,
18445088912536162189,000002B7,false,Rx,0,8,1F,0F,00,00,00,00,10,00,
18445088912536162792,000000D2,false,Rx,0,5,3F,3B,00,00,04,00,00,00,
18445088912536162993,000000D0,false,Rx,0,6,47,97,0B,38,13,F0,00,00,
18445088912536163229,000000C2,false,Rx,0,8,44,80,00,00,80,30,51,0B,
18445088912536163438,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536164288,0000056A,false,Rx,0,8,9E,03,10,20,10,0D,00,B0,
18445088912536164528,00000366,false,Rx,0,8,5B,0B,00,00,00,00,80,D0,
18445088912536164756,00000520,false,Rx,0,8,61,43,01,0F,1B,2E,EE,02,
18445088912536165816,000005C0,false,Rx,0,8,04,00,00,A6,2D,00,08,87,
18445088912536166266,0000048C,false,Rx,0,8,0E,09,07,00,00,00,00,00,
18445088912536166983,00000440,false,Rx,0,8,20,52,50,FE,78,00,14,02,
18445088912536167225,00000540,false,Rx,0,8,20,00,FF,00,FF,00,02,56,
18445088912536170320,00000280,false,Rx,0,8,01,18,1C,0D,1A,00,1C,1A,
18445088912536170520,00000284,false,Rx,0,6,68,5C,04,30,00,00,00,00,
