Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000248,0C2,FALSE,Rx,0,8,88,0,BA,1,80,E0,2F,DC
1000249,0D0,FALSE,Rx,0,6,8F,4C,3C,38,27,E0,0,0
1000250,1A0,FALSE,Rx,0,8,0,40,B6,1B,FE,FE,0,1E
1000251,280,FALSE,Rx,0,8,1,0E,C8,16,0E,0,16,6
1000252,1AC,FALSE,Rx,0,8,DE,1F,0,0,5B,A1,FA,C1
1000253,380,FALSE,Rx,0,8,0,85,0,48,0,0,0,5
1000254,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,E0,84
1000255,050,FALSE,Rx,0,4,0,B9,3C,85,0,0,0,0
1000256,3A0,FALSE,Rx,0,8,76,0F,C5,7A,DF,0B,11,3
1000257,488,FALSE,Rx,0,8,15,6,0E,7E,93,FF,1E,11
1000258,4A0,FALSE,Rx,0,8,B6,1B,B8,1B,A2,1B,C8,1B
1000259,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,5C,2
1000260,4A8,FALSE,Rx,0,8,45,0,3,80,80,0,F4,B2
1000261,5A0,FALSE,Rx,0,8,81,DA,12,F0,0,DA,1E,AB
1000262,540,FALSE,Rx,0,8,B0,0,FF,0,FF,0,2,56
1000263,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000264,420,FALSE,Rx,0,8,1C,9D,9D,0,18,64,FF,0
1000265,0D2,FALSE,Rx,0,5,33,37,0,0,4,0,0,0
1000266,397,FALSE,Rx,0,8,7,7,0,0,0,0,0,0
1000267,3D4,FALSE,Rx,0,8,9,89,80,0,8,0,0,0
1000268,0AE,FALSE,Rx,0,8,FB,F8,0,0,0,0,3,0
1000269,1A0,FALSE,Rx,0,8,0,40,BA,1B,FE,FE,0,1F
1000270,0C2,FALSE,Rx,0,8,88,0,76,1,80,F0,24,10
1000271,0D0,FALSE,Rx,0,6,97,5D,3A,38,28,E0,0,0
1000272,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,F0,94
1000273,280,FALSE,Rx,0,8,1,0C,D4,16,0D,0,16,6
1000274,284,FALSE,Rx,0,6,3C,56,0A,60,0,0,0,0
1000275,288,FALSE,Rx,0,8,4E,BA,78,0,0,050,B7,8
1000276,380,FALSE,Rx,0,8,0,85,0,3E,0,0,0,5
1000277,3D0,FALSE,Rx,0,6,1,0,8,0,C8,80,0,0
1000278,480,FALSE,Rx,0,8,70,0,28,94,56,8,6,94
1000279,488,FALSE,Rx,0,8,B8,6,0C,7E,93,FF,81,21
1000280,48A,FALSE,Rx,0,8,87,E4,1,2,0,0,0,60
1000281,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,64,2
1000282,38A,FALSE,Rx,0,4,58,80,F8,20,0,0,0,0
1000283,4A0,FALSE,Rx,0,8,B8,1B,BC,1B,AA,1B,BC,1B
1000284,588,FALSE,Rx,0,8,E9,050,7E,3,0C,80,4,96
1000285,368,FALSE,Rx,0,8,C3,1E,89,42,5,0,13,0
1000286,5C0,FALSE,Rx,0,8,0C,0,0,A6,21,0,0,8B
1000287,5D6,FALSE,Rx,0,5,0,0,0,0,0,0,0,0
1000288,44C,FALSE,Rx,0,8,5A,B6,45,96,58,2,5,60
1000289,540,FALSE,Rx,0,8,C0,0,FF,0,FF,0,2,0F
1000290,320,FALSE,Rx,0,8,20,20,0E,B9,1B,C3,1B,91
1000291,0AE,FALSE,Rx,0,8,0B,8,0,0,0,0,3,0
1000292,0C2,FALSE,Rx,0,8,88,0,10,1,80,0,CF,66
1000293,0D0,FALSE,Rx,0,6,AB,6E,34,38,29,E0,0,0
1000294,1A0,FALSE,Rx,0,8,0,40,B0,1B,FE,FE,0,10
1000295,280,FALSE,Rx,0,8,1,0C,D4,16,0D,0,16,6
1000296,1AC,FALSE,Rx,0,8,EA,10,0,0,60,A1,FA,C1
1000297,380,FALSE,Rx,0,8,0,85,0,3E,0,0,0,5
1000298,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,0,64
1000299,050,FALSE,Rx,0,4,0,B9,4C,F5,0,0,0,0
1000300,3A0,FALSE,Rx,0,8,050,0,CD,9E,5F,4C,13,3
1000301,488,FALSE,Rx,0,8,2F,6,0C,7E,91,FF,4,31
1000302,4A0,FALSE,Rx,0,8,B0,1B,B0,1B,B2,1B,C2,1B
1000303,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,6C,2
1000304,4A8,FALSE,Rx,0,8,48,0,7,80,80,0,4,4B
1000305,5A0,FALSE,Rx,0,8,81,D6,12,0,0,E2,1E,AB
1000306,5B7,FALSE,Rx,0,8,0,D0,0,0,0,0,0,0
1000307,366,FALSE,Rx,0,8,5F,0F,0,0,0,0,80,D0
1000308,56A,FALSE,Rx,0,8,CC,3,8,28,10,0F,0,F0
1000309,390,FALSE,Rx,0,8,3,0,050,0,40,0,0,8
1000310,392,FALSE,Rx,0,8,8,0,7,21,0,11,050,0
